City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Southbridge,US,2022-03-22 04:42:57,42.0751,-72.0334,44.62,58,15,5.01
111,Sabla,NG,2022-03-22 04:42:58,12.7525,4.7077,81.27,18,91,9.15
112,Ixtapa,MX,2022-03-22 04:42:58,20.7,-105.2,69.22,79,54,3.47
113,Ceyhan,TR,2022-03-22 04:42:59,37.0247,35.8175,46.24,58,13,6.4
114,Conde,BR,2022-03-22 04:43:00,-7.2597,-34.9075,74.66,100,100,2.3
115,Saint-Philippe,RE,2022-03-22 04:43:00,-21.3585,55.7679,81.21,89,76,9.89
116,Cabedelo,BR,2022-03-22 04:43:01,-6.9811,-34.8339,75.87,84,100,4.25
117,Dicabisagan,PH,2022-03-22 04:43:01,17.0818,122.4157,87.28,64,96,6.71
118,Dongning,CN,2022-03-22 04:43:02,44.0622,131.1207,41.65,35,2,12.06
119,Nyandoma,RU,2022-03-22 04:43:02,61.669,40.1991,30.72,94,81,7.67
120,Inverness,GB,2022-03-22 04:38:58,57.4791,-4.224,35.98,93,20,0.0
121,Talcahuano,CL,2022-03-22 04:43:03,-36.7167,-73.1167,55.08,88,0,6.91
122,Pisco,PE,2022-03-22 04:43:04,-13.7,-76.2167,71.65,73,0,6.91
123,Thompson,CA,2022-03-22 04:43:04,55.7435,-97.8558,30.36,64,100,9.22
124,Leningradskiy,RU,2022-03-22 04:43:05,69.3833,178.4167,18.41,90,100,9.13
125,Mlalo,TZ,2022-03-22 04:43:05,-4.9333,38.9333,79.12,79,8,4.18
126,Palmer,US,2022-03-22 04:43:05,42.1584,-72.3287,44.15,50,39,1.01
127,Groningen,NL,2022-03-22 04:43:06,53.25,6.75,44.17,84,73,2.3
128,Poum,NC,2022-03-22 04:43:06,-20.2333,164.0167,80.6,75,91,17.22
129,Talnakh,RU,2022-03-22 04:43:07,69.4865,88.3972,-2.79,90,78,3.69
130,Jamestown,US,2022-03-22 04:43:07,42.097,-79.2353,42.03,67,100,5.75
131,Lavrentiya,RU,2022-03-22 04:43:07,65.5833,-171.0,9.05,92,97,2.89
132,Bonthe,SL,2022-03-22 04:44:08,7.5264,-12.505,75.31,89,98,3.2
133,Beloha,MG,2022-03-22 04:44:08,-25.1667,45.05,73.54,68,1,9.73
134,Kaitangata,NZ,2022-03-22 04:44:09,-46.2817,169.8464,62.19,84,94,10.45
135,Khatanga,RU,2022-03-22 04:44:09,71.9667,102.5,-10.53,96,98,6.71
136,Korla,CN,2022-03-22 04:39:11,41.7597,86.1469,50.04,51,71,17.25
137,Harnosand,SE,2022-03-22 04:42:23,62.6323,17.9379,32.0,81,2,8.05
138,Villanueva De La Serena,ES,2022-03-22 04:44:10,38.9766,-5.7974,49.1,95,100,4.5
139,Aykhal,RU,2022-03-22 04:44:10,66.0,111.5,10.2,86,93,5.35
140,Port Alfred,ZA,2022-03-22 04:44:11,-33.5906,26.891,70.34,82,0,3.65
141,Atar,MR,2022-03-22 04:44:11,20.5169,-13.0499,68.5,26,0,10.16
142,Aranos,NA,2022-03-22 04:44:12,-24.1333,19.1167,69.04,49,35,11.14
143,Medvedovskaya,RU,2022-03-22 04:44:12,45.4531,39.0258,36.16,84,100,14.54
144,Taoudenni,ML,2022-03-22 04:44:12,22.6783,-3.9836,68.81,24,0,11.1
145,Pevek,RU,2022-03-22 04:44:13,69.7008,170.3133,26.19,75,100,22.19
146,Ancud,CL,2022-03-22 04:44:13,-41.8697,-73.8203,48.85,84,72,3.67
147,Port Hardy,CA,2022-03-22 04:44:14,50.6996,-127.4199,44.6,93,100,18.41
148,Fishers,US,2022-03-22 04:40:48,39.9556,-86.0139,59.34,48,0,4.61
149,San Quintin,MX,2022-03-22 04:44:14,30.4833,-115.95,57.92,83,51,2.98
150,Salalah,OM,2022-03-22 04:44:15,17.0151,54.0924,73.49,18,0,3.44
151,Marzuq,YE,2022-03-22 04:44:15,14.4,46.4667,76.33,32,18,4.76
152,Victoria,HK,2022-03-22 04:44:13,22.2855,114.1577,80.65,86,90,1.99
153,Taltal,CL,2022-03-22 04:44:16,-25.4,-70.4833,64.58,80,1,0.94
154,Nalut,LY,2022-03-22 04:44:16,30.3333,10.85,44.56,67,4,13.38
155,Lagoa,PT,2022-03-22 04:44:16,39.05,-27.9833,57.06,70,100,22.21
156,Ust-Tsilma,RU,2022-03-22 04:44:17,65.441,52.1498,31.19,83,100,13.09
157,Ariquemes,BR,2022-03-22 04:44:17,-9.9133,-63.0408,71.91,98,89,1.01
158,Amsterdam,NL,2022-03-22 04:41:28,52.374,4.8897,46.83,90,0,4.61
159,Verkhoyansk,RU,2022-03-22 04:44:18,67.5447,133.385,2.62,86,100,3.69
160,Gorele,TR,2022-03-22 04:44:18,41.0308,39.0031,35.91,75,97,5.93
161,Pedasi,PA,2022-03-22 04:44:19,7.5333,-80.0333,75.07,81,76,17.54
162,Sungaipenuh,ID,2022-03-22 04:44:19,-2.0833,101.3833,82.24,42,58,5.88
163,Alihe,CN,2022-03-22 04:44:20,50.5667,123.7167,35.76,48,8,7.18
164,Yeppoon,AU,2022-03-22 04:44:20,-23.1333,150.7333,85.78,57,9,10.87
165,Okhotsk,RU,2022-03-22 04:44:21,59.3833,143.3,22.46,88,100,13.11
166,Almaznyy,RU,2022-03-22 04:44:21,48.0448,40.045,31.17,78,60,13.53
167,Asyut,EG,2022-03-22 04:44:21,27.181,31.1837,50.88,58,0,12.86
168,Banff,CA,2022-03-22 04:44:22,51.1762,-115.5698,38.43,55,64,5.75
169,Nadym,RU,2022-03-22 04:44:22,65.5333,72.5167,3.6,96,100,7.56
170,Opuwo,NA,2022-03-22 04:44:23,-18.0607,13.84,68.86,83,97,7.58
171,Haines Junction,CA,2022-03-22 04:44:23,60.7522,-137.5108,24.75,54,100,9.22
172,Black River,JM,2022-03-22 04:44:24,18.0264,-77.8487,73.13,83,22,3.69
173,Wanning,CN,2022-03-22 04:44:24,18.8003,110.3967,84.88,71,91,12.12
174,Kutum,SD,2022-03-22 04:44:24,14.2,24.6667,67.75,11,0,5.44
175,Mbini,GQ,2022-03-22 04:44:25,1.574,9.6134,76.84,89,72,6.93
176,Nome,US,2022-03-22 04:44:25,64.5011,-165.4064,14.07,73,0,0.0
177,Yining,CN,2022-03-22 04:45:26,29.0361,114.5636,47.55,87,100,3.56
178,Umm Lajj,SA,2022-03-22 04:45:26,25.0213,37.2685,68.38,70,0,7.74
179,Bethel,US,2022-03-22 04:45:26,41.3712,-73.414,49.5,51,90,8.52
180,Wajir,KE,2022-03-22 04:45:27,1.7471,40.0573,79.23,62,0,12.97
181,Yellowknife,CA,2022-03-22 04:40:48,62.456,-114.3525,10.92,80,100,11.5
182,Dikson,RU,2022-03-22 04:45:27,73.5069,80.5464,2.84,92,100,18.48
183,Flin Flon,CA,2022-03-22 04:45:28,54.7682,-101.865,30.67,99,100,1.43
184,Dingle,PH,2022-03-22 04:45:28,10.9995,122.6711,90.07,56,99,12.06
185,Clyde River,CA,2022-03-22 04:41:05,70.4692,-68.5914,-14.57,76,0,5.75
186,Abu Zabad,SD,2022-03-22 04:45:29,12.35,29.25,73.44,10,1,8.81
187,Astana,KZ,2022-03-22 04:41:19,51.1801,71.446,22.95,93,100,26.84
188,Klaksvik,FO,2022-03-22 04:45:29,62.2266,-6.589,43.72,88,100,19.86
189,Caiaponia,BR,2022-03-22 04:45:30,-16.9567,-51.8103,67.71,83,64,4.9
190,Warrington,GB,2022-03-22 04:45:30,53.3925,-2.5802,50.34,77,88,5.75
191,Hambantota,LK,2022-03-22 04:45:30,6.1241,81.1185,88.14,70,20,2.3
192,Aklavik,CA,2022-03-22 04:45:31,68.2191,-135.0107,-9.71,97,96,2.44
193,Dalian,CN,2022-03-22 04:45:31,38.9122,121.6022,46.33,18,0,6.71
194,Rawson,AR,2022-03-22 04:43:42,-43.3002,-65.1023,64.08,44,97,15.17
195,Quelimane,MZ,2022-03-22 04:45:32,-17.8786,36.8883,75.15,88,40,7.0
196,Mehamn,NO,2022-03-22 04:45:32,71.0357,27.8492,35.55,60,75,32.21
197,Sidrolandia,BR,2022-03-22 04:42:20,-20.9319,-54.9614,71.02,81,30,10.6
198,Kotelnikovo,RU,2022-03-22 04:45:33,47.6317,43.1461,31.89,71,19,13.67
199,Chifeng,CN,2022-03-22 04:45:33,42.2683,118.9636,41.43,21,95,13.22
200,Kavieng,PG,2022-03-22 04:45:33,-2.5744,150.7967,84.16,71,97,5.08
201,Champoton,MX,2022-03-22 04:45:34,19.35,-90.7167,80.06,58,37,13.0
202,Faanui,PF,2022-03-22 04:45:34,-16.4833,-151.75,82.15,73,11,15.73
203,Strezhevoy,RU,2022-03-22 04:45:35,60.7333,77.5889,21.22,90,100,3.6
204,Hofn,IS,2022-03-22 04:45:35,64.2539,-15.2082,45.19,98,100,12.75
205,Severo-Yeniseyskiy,RU,2022-03-22 04:45:35,60.3725,93.0408,20.1,83,100,10.4
206,Aitape,PG,2022-03-22 04:45:36,-3.1374,142.3475,86.13,68,73,8.39
207,Volot,RU,2022-03-22 04:45:36,57.9278,30.7025,30.04,83,0,6.02
208,Bam,IR,2022-03-22 04:45:37,29.106,58.357,77.52,10,78,7.29
209,Srednekolymsk,RU,2022-03-22 04:45:37,67.45,153.6833,24.44,95,100,5.77
210,Kamenka,RU,2022-03-22 04:45:38,51.3223,42.7678,21.33,92,12,3.74
211,Severnoye,RU,2022-03-22 04:45:38,56.3491,78.3619,20.46,88,100,8.08
212,Mizdah,LY,2022-03-22 04:45:39,31.4451,12.9801,41.18,84,0,6.76
213,Hamilton,US,2022-03-22 04:44:59,39.1834,-84.5333,58.05,54,0,4.61
214,Chicama,PE,2022-03-22 04:45:39,-7.8447,-79.1469,64.94,79,96,5.21
215,Hervey Bay,AU,2022-03-22 04:45:40,-25.2986,152.8535,78.26,63,44,9.93
216,Pietarsaari,FI,2022-03-22 04:45:40,63.65,22.6833,26.01,89,0,8.28
217,Bonfim,BR,2022-03-22 04:45:40,3.0833,-59.95,78.55,69,100,5.28
218,Vila Do Maio,CV,2022-03-22 04:45:41,15.1333,-23.2167,68.79,77,13,19.48
219,Saint George,US,2022-03-22 04:45:41,37.1041,-113.5841,55.99,27,0,16.11
220,Lompoc,US,2022-03-22 04:42:06,34.6391,-120.4579,55.78,84,0,5.75
221,Port Elizabeth,ZA,2022-03-22 04:43:45,-33.918,25.5701,64.69,94,100,4.61
222,Qaanaaq,GL,2022-03-22 04:45:42,77.484,-69.3632,-6.84,86,100,5.73
223,Sinop,TR,2022-03-22 04:41:09,41.7711,34.8709,29.28,91,94,2.08
224,Jieshi,CN,2022-03-22 04:45:43,22.8134,115.8257,80.94,86,98,20.33
225,Coahuayana,MX,2022-03-22 04:46:43,18.7333,-103.6833,68.59,52,29,3.11
226,Magistralnyy,RU,2022-03-22 04:46:44,56.1725,107.4458,28.24,64,100,6.49
227,Rodrigues Alves,BR,2022-03-22 04:46:44,-7.738,-72.6509,72.36,99,99,1.52
228,Tiksi,RU,2022-03-22 04:46:44,71.6872,128.8694,-6.43,95,44,2.21
229,Saint Charles,US,2022-03-22 04:46:45,38.7667,-90.7335,55.65,85,100,5.99
230,Belaya Gora,RU,2022-03-22 04:46:45,68.5333,146.4167,10.98,89,100,4.38
231,Mayo,US,2022-03-22 04:46:46,38.8876,-76.5119,56.75,70,0,1.01
232,Panguna,PG,2022-03-22 04:46:46,-6.3164,155.4848,77.81,74,86,1.81
233,Langsa,ID,2022-03-22 04:46:47,4.4683,97.9683,91.89,54,98,2.8
234,Manokwari,ID,2022-03-22 04:46:47,-0.8667,134.0833,82.04,72,95,3.94
235,Sao Jose Da Coroa Grande,BR,2022-03-22 04:46:47,-8.8978,-35.1478,76.62,90,100,4.25
236,Puerto Narino,CO,2022-03-22 04:46:48,-3.7703,-70.3831,73.18,98,100,0.65
237,Salamanca,ES,2022-03-22 04:46:48,40.8333,-6.0,45.99,92,71,5.77
238,Sao Geraldo Do Araguaia,BR,2022-03-22 04:46:49,-6.4006,-48.555,72.3,96,23,1.68
239,Farafangana,MG,2022-03-22 04:46:49,-22.8167,47.8333,74.34,78,100,1.14
240,Nishihara,JP,2022-03-22 04:46:49,26.1842,127.7558,71.65,89,100,19.57
241,Kalat,PK,2022-03-22 04:46:50,29.0225,66.5916,64.02,17,0,7.65
242,Saint-Joseph,RE,2022-03-22 04:46:50,-21.3667,55.6167,80.2,85,56,10.4
243,Los Llanos De Aridane,ES,2022-03-22 04:46:51,28.6585,-17.9182,58.75,81,100,4.61
244,Minudasht,IR,2022-03-22 04:46:51,37.2289,55.3747,44.17,93,100,4.61
245,Farah,AF,2022-03-22 04:46:51,32.5,62.5,71.51,12,100,0.78
246,Sola,VU,2022-03-22 04:46:52,-13.8833,167.55,78.73,85,100,17.52
247,Garmisch-Partenkirchen,DE,2022-03-22 04:46:38,47.4921,11.0958,31.87,66,0,6.6
248,Bermejo,AR,2022-03-22 04:46:52,-32.8833,-68.8,69.71,52,29,9.22
249,Vadlapudi,IN,2022-03-22 04:46:53,14.3167,79.8,95.04,37,19,4.92
250,Guerrero Negro,MX,2022-03-22 04:46:53,27.9769,-114.0611,58.37,84,3,11.7
251,San Jose,US,2022-03-22 04:46:04,37.3394,-121.895,61.57,66,20,4.61
252,Alyangula,AU,2022-03-22 04:46:54,-13.8483,136.4192,96.67,44,40,10.36
253,Kirakira,SB,2022-03-22 04:46:54,-10.4544,161.9205,84.18,70,62,5.1
254,Caucaia,BR,2022-03-22 04:46:55,-3.7361,-38.6531,75.15,86,100,8.05
255,Lahij,YE,2022-03-22 04:46:55,13.1667,44.5833,73.62,65,13,7.34
256,Praia,CV,2022-03-22 04:46:56,14.9215,-23.5087,68.54,73,20,20.71
257,Chuy,UY,2022-03-22 04:46:56,-33.6971,-53.4616,65.14,73,63,11.9
