City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Porto Walter,BR,-8.2686,-72.7439,72.66,98,100,1.16,overcast clouds
130,Thinadhoo,MV,0.5333,72.9333,81.57,69,4,9.82,clear sky
131,Kasongo,CD,-4.45,26.6667,67.87,98,100,2.71,overcast clouds
132,Nam Som,TH,17.7704,102.1895,91.09,43,17,1.23,few clouds
133,Pelotas,BR,-31.7719,-52.3425,63.86,88,71,7.4,broken clouds
134,Putina,PE,-15.4667,-69.4333,45.48,79,99,7.18,overcast clouds
135,Roros,NO,62.5747,11.3842,24.64,93,100,3.44,overcast clouds
136,Berlevag,NO,70.8578,29.0864,22.8,68,100,22.5,light snow
137,Ambilobe,MG,-13.2,49.05,76.08,93,99,2.62,overcast clouds
138,Daru,PG,-9.0763,143.2092,87.44,66,89,7.92,overcast clouds
139,Carnarvon,AU,-24.8667,113.6333,82.2,51,0,11.48,clear sky
140,Skjervoy,NO,70.0311,20.9714,21.2,69,100,6.11,light snow
141,Port Augusta,AU,-32.5,137.7667,88.75,20,7,4.97,clear sky
142,Hasaki,JP,35.7333,140.8333,64.8,70,100,18.72,overcast clouds
143,Khatanga,RU,71.9667,102.5,0.25,91,37,14.72,scattered clouds
144,Adrar,MR,20.5022,-10.0711,69.98,15,58,1.39,broken clouds
145,Barentu,ER,15.1139,37.5928,65.46,54,9,4.94,clear sky
146,Rawson,AR,-43.3002,-65.1023,67.14,35,32,19.6,scattered clouds
147,Aleksandrov Gay,RU,50.147,48.5704,36.1,81,100,22.32,overcast clouds
148,Hobart,AU,-42.8794,147.3294,80.46,43,0,17.27,clear sky
149,Lima,PE,-12.0432,-77.0282,69.39,73,100,5.1,overcast clouds
150,Broken Hill,AU,-31.95,141.4333,79.72,29,0,13.33,clear sky
151,Tiznit,MA,29.5833,-9.5,57.27,53,13,5.39,few clouds
152,Poggibonsi,IT,43.4724,11.1456,55.09,55,100,2.73,overcast clouds
153,Ende,ID,-8.8432,121.6623,85.68,70,24,4.21,few clouds
154,Omboue,GA,-1.5746,9.2618,77.99,90,97,8.43,overcast clouds
155,Saint George,US,37.1041,-113.5841,72.95,15,0,3.44,clear sky
156,Constitucion,CL,-35.3333,-72.4167,52.12,89,37,7.23,scattered clouds
157,Paita,PE,-5.0892,-81.1144,73.11,78,100,10.67,overcast clouds
158,Mahebourg,MU,-20.4081,57.7,82.26,94,40,1.14,scattered clouds
159,Longyearbyen,SJ,78.2186,15.6401,-4.16,71,20,11.5,few clouds
160,Dawei,MM,14.0833,98.2,90.32,54,79,5.79,broken clouds
161,Lata,PT,40.1629,-8.3327,51.08,86,1,5.19,clear sky
162,Kulachi,PK,31.9286,70.4592,84.22,14,0,3.06,clear sky
163,Vardo,NO,70.3705,31.1107,26.22,62,100,24.32,light snow
164,Puerto Leguizamo,CO,-0.1934,-74.7819,71.6,99,99,2.44,moderate rain
165,Butaritari,KI,3.0707,172.7902,81.5,71,32,13.56,scattered clouds
166,Aripuana,BR,-9.1667,-60.6333,72.66,99,100,1.43,moderate rain
167,Ribeira Grande,PT,38.5167,-28.7,60.67,84,69,8.59,broken clouds
168,Norman Wells,CA,65.282,-126.8329,5.79,95,100,4.54,overcast clouds
169,Laguna,US,38.421,-121.4238,66.61,60,0,8.05,clear sky
170,Kjopsvik,NO,68.097,16.3742,28.17,84,100,8.81,overcast clouds
171,Honiara,SB,-9.4333,159.95,81.37,81,100,5.03,light rain
172,Pangkalanbuun,ID,-2.6833,111.6167,92.84,47,86,4.14,overcast clouds
173,Tiksi,RU,71.6872,128.8694,-1.62,94,81,1.66,broken clouds
174,Dinghai,CN,26.2847,119.7936,57.65,86,100,9.86,overcast clouds
175,Malpe,IN,13.35,74.7167,85.3,64,67,6.58,broken clouds
176,Kurumkan,RU,54.3,110.3,21.63,89,93,4.0,light snow
177,Luanda,AO,-8.8368,13.2343,75.2,88,40,3.44,scattered clouds
178,Mar Del Plata,AR,-38.0023,-57.5575,59.88,88,75,7.0,broken clouds
179,Juneau,US,58.3019,-134.4197,28.74,94,47,3.58,scattered clouds
180,Scarborough,GB,54.2797,-0.4044,45.64,90,4,1.79,clear sky
181,Qaqortoq,GL,60.7167,-46.0333,19.51,73,63,4.97,broken clouds
182,Lafia,NG,8.4833,8.5167,78.62,20,71,0.63,broken clouds
183,Pontes E Lacerda,BR,-15.2261,-59.3353,69.6,96,61,3.33,broken clouds
184,Calama,CL,-22.4667,-68.9333,53.24,28,0,3.78,clear sky
185,Mayo,US,38.8876,-76.5119,43.14,60,0,16.11,clear sky
186,Ostrovnoy,RU,68.0531,39.5131,22.64,62,100,14.88,light snow
187,Krasnaya Gora,RU,52.9995,31.6023,27.05,69,98,21.83,overcast clouds
188,Beckley,US,37.7782,-81.1882,30.31,87,100,9.22,overcast clouds
189,Wagga Wagga,AU,-35.1167,147.3667,80.85,36,40,13.8,scattered clouds
190,Yulara,AU,-25.2406,130.9889,89.08,17,3,3.33,clear sky
191,Parainen,FI,60.3067,22.301,27.14,63,100,9.13,overcast clouds
192,Griffith,US,41.5284,-87.4237,30.13,65,100,11.5,overcast clouds
193,Kuryk,KZ,43.2,51.65,42.49,79,89,10.13,overcast clouds
194,Valparaiso,CL,-33.0393,-71.6273,60.48,69,41,10.27,scattered clouds
195,Impfondo,CG,1.6381,18.0667,71.73,79,31,3.33,scattered clouds
196,Saskylakh,RU,71.9167,114.0833,-11.38,98,100,4.29,overcast clouds
197,Macia,MZ,-25.0269,33.0989,66.81,97,8,3.24,clear sky
198,Waingapu,ID,-9.6567,120.2641,86.09,66,7,5.86,clear sky
199,Villa Carlos Paz,AR,-31.4241,-64.4978,60.39,10,0,8.99,clear sky
200,Ilula,TZ,-7.6766,36.0366,60.3,97,93,3.06,overcast clouds
201,Pleshanovo,RU,52.8333,53.4833,28.85,91,100,15.68,overcast clouds
202,Inirida,CO,3.8653,-67.9239,72.36,97,100,1.3,overcast clouds
